variavel,count,mean,median,mode,std,var,min,p10,p25,p50,p75,p90,max,skew,kurtosis,cv_pct,iqr
idade,10000.0,38.9214,37.0,37.0,10.485819819247714,109.95241728172817,18.0,27.0,32.0,37.0,44.0,53.0,90.0,1.0091856137211133,1.3801207253707655,26.941013990369605,12.0
renda_mensal,10000.0,8371.509131,8349.490000000002,1000.0,4743.069477989103,22496708.073031817,1000.0,1689.4660000000003,4250.174999999999,8349.490000000002,12449.02,14972.893,16666.04,0.03363260808483911,-1.2156021702771886,56.65728130696704,8198.845000000001
saldo_atual,10000.0,76485.889288,97198.54000000001,0.0,62397.405202385955,3893436175.990742,0.0,0.0,0.0,97198.54000000001,127644.24,149244.79200000002,250898.09,-0.14110871094154384,-1.489411767941925,81.58028334799735,127644.24
score_credito,10000.0,650.5288,652.0,850.0,96.65329873613035,9341.860156575658,350.0,521.0,584.0,652.0,718.0,778.0,850.0,-0.07160660820092675,-0.42572568480291295,14.857650996563157,134.0
tempo_relacionamento,10000.0,5.0128,5.0,2.0,2.8921743770496837,8.364672627262726,0.0,1.0,3.0,5.0,7.0,9.0,10.0,0.01099145797717904,-1.1652252274891766,57.695786327994,4.0
